,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87147346805.4626,87147356311.07307,True,,11,71659659264.0,9313753744.86124,,2024-07-10T06:09:00.000Z,0.12997206295035002,284633794.0667164,-28.8605,-0.33903893,1.25763339,0.86242948,10.57939184,2.61487318,8.24526508,11326720444.95557,0.5246,11326721680.42,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
11,5805,Avalanche,AVAX,avalanche,750,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394392511.35646397,443738881.35646397,False,,12,,,,2024-07-10T06:09:00.000Z,27.17130183888764,324260224.0333844,-25.553,-0.4544293,6.52562131,-3.11682969,-16.84250891,-19.14692423,-41.99171124,10716157969.063404,0.4963,19447824484.75,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270822026573.9,589519289946661.6,False,,13,,,,2024-07-10T06:09:00.000Z,1.6671923314653968e-05,282943272.7441034,-41.4157,-0.8906576,1.07957008,-1.70611151,-28.12015618,-26.10330136,-40.00356568,9824277956.390146,0.455,9828420394.5,,2024-07-10T06:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-10 11:41:54.838867
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1466871095.6474755,9107740587.461195,,2024-07-10T06:09:00.000Z,6.208957702204261,174787392.53675115,-24.2394,-0.51546512,3.25379469,-2.01827756,-3.65704209,-8.22237689,-26.31695548,8928192033.104345,0.4133,8928192033.1,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
14,1975,Chainlink,LINK,chainlink,1812,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-10T06:09:00.000Z,13.012301287071683,345231534.8362284,-24.6387,-0.89154023,0.13821927,-9.78051117,-18.84378088,-4.50817826,-25.367672,7912780028.191049,0.3665,13012301287.07,,2024-07-10T06:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-10 11:41:54.838867
15,1831,Bitcoin Cash,BCH,bitcoin-cash,903,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19730734.375,19730734.375,False,,16,,,,2024-07-10T06:09:00.000Z,343.14568144349664,214563499.58778438,-20.8294,-0.38805646,1.42171236,-8.60911688,-26.52519809,-20.23115596,-44.30617526,6770516292.489999,0.3136,7206059310.31,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
16,3957,UNUS SED LEO,LEO,unus-sed-leo,48,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,926031301.9,985239504.0,False,,17,,,,2024-07-10T06:09:00.000Z,5.84102101049517,772228.73395767,19.8031,-0.10844148,0.11999769,0.53700403,-0.4569336,-1.3268306,-2.07819265,5408968290.774096,0.2505,5754804643.23,,2024-07-10T06:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2024-07-10 11:41:54.838867
17,4943,Dai,DAI,multi-collateral-dai,3340,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,18,,,,2024-07-10T06:09:00.000Z,1.0002297251843904,69698233.21755716,-91.5472,-0.00014012,-0.00075743,0.02570795,0.04848049,0.02302395,0.01395245,5349117140.440165,0.2477,5349117140.44,,2024-07-10T06:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2024-07-10 11:41:54.838867
18,6535,NEAR Protocol,NEAR,near-protocol,425,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1096263059.0,1199618447.0,False,,19,,,,2024-07-10T06:09:00.000Z,4.657668561682066,256892876.8881545,-18.5623,-0.75922288,2.71167571,-13.60097351,-27.8194964,-35.35874676,-33.65719045,5106029985.237712,0.2365,5587425126.61,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
19,3890,Polygon,MATIC,polygon,1414,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",,9894059780.220844,10000000000.0,False,,20,,,,2024-07-10T06:09:00.000Z,0.5089279361137429,198420001.33039436,-31.2824,-0.71978919,2.03902402,-9.10452935,-20.89769011,-25.33957319,-42.75214304,5035363423.733787,0.2332,5089279361.14,,2024-07-10T06:09:00.000Z,,,,,,2024-07-10 11:41:54.838867
0,1,Bitcoin,BTC,bitcoin,11595,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19719800.0,19719800.0,False,,1,,,,2024-07-10T06:12:00.000Z,58991.67203360773,28801052445.119923,-19.0221,-0.50085438,2.7989463,-3.36470736,-15.127304,-3.19192372,-16.63321583,1163303974168.3376,53.8535,1238825112705.76,,2024-07-10T06:12:00.000Z,,,,,,2024-07-10 11:42:59.766150
1,1027,Ethereum,ETH,ethereum,9126,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120207304.75118561,120207304.75118561,True,,2,,,,2024-07-10T06:11:00.000Z,3101.3474232904778,14962862244.312843,-28.6722,-0.43906861,0.92373125,-7.85546935,-15.70581777,6.19907205,-13.1079091,372804614850.7827,17.2859,372804614850.78,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
2,825,Tether USDt,USDT,tether,91223,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112259808785.14278,116076856616.98984,True,,3,,,,2024-07-10T06:11:00.000Z,1.0002837934253255,51514962268.7104,-24.2927,0.00160584,0.00512591,0.17782772,0.06146739,0.05380855,0.011955,112291667380.80429,5.2004,116109798465.73,,2024-07-10T06:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-10 11:42:59.766150
3,1839,BNB,BNB,bnb,2190,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582556.48108873,147582556.48108873,False,,4,,,,2024-07-10T06:11:00.000Z,521.8831489916644,1598206896.316932,-20.0996,-0.51761434,1.44301642,-7.85505682,-21.44058551,-10.98920989,-14.41848518,77020849312.59074,3.567,77020849312.59,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
4,5426,Solana,SOL,solana,699,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,463675708.6111104,579836504.167659,True,,5,,,,2024-07-10T06:11:00.000Z,143.65109824255194,2344406689.4407835,-32.0912,-1.44881158,1.31958812,-3.69413524,-10.03957734,-1.37435359,-17.39085873,66607524770.3795,3.0847,83294150624.81,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
5,3408,USDC,USDC,usd-coin,20886,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34017145371.429672,34017145371.429672,False,,6,,,,2024-07-10T06:11:00.000Z,1.000148675854981,5557772831.907345,-25.8626,0.00579042,-0.01652244,0.01910911,0.01691591,0.01790606,0.00095695,34022202899.60178,1.5775,34022202899.6,,2024-07-10T06:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-10 11:42:59.766150
6,52,XRP,XRP,xrp,1351,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55723063839.0,99987471767.0,False,,7,,,,2024-07-10T06:12:00.000Z,0.437540344841945,1015888762.3789679,-23.4608,-0.73921721,0.44211936,-8.82314907,-12.02529085,-13.39848612,-29.05258234,24381088567.765774,1.1308,43754034484.19,,2024-07-10T06:12:00.000Z,,,,,,2024-07-10 11:42:59.766150
7,11419,Toncoin,TON,toncoin,453,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506201805.4972763,5108789406.656088,True,,8,3414166606.0,25191131332.056026,,2024-07-10T06:11:00.000Z,7.378413018212277,246277215.8073748,-33.7515,-0.36649932,1.75445481,-7.71216641,3.85829587,5.89176704,-2.88918226,18491792027.948215,0.8561,37694758265.38,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
8,74,Dogecoin,DOGE,dogecoin,1021,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145054186383.70523,145054186383.70523,True,,9,,,,2024-07-10T06:12:00.000Z,0.10915799440860227,574772080.2517351,-34.1343,-0.86588376,0.30607491,-10.63109388,-24.8543972,-24.48100391,-44.52330161,15833824066.216846,0.7344,15833824066.22,,2024-07-10T06:12:00.000Z,,,,,,2024-07-10 11:42:59.766150
9,2010,Cardano,ADA,cardano,1209,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35872097430.943,37034995407.59,False,,10,,,,2024-07-10T06:11:00.000Z,0.3821469164770621,256714707.41037068,-43.0646,-0.84231603,2.52501644,-7.94850698,-13.32198129,-14.49907239,-34.89848243,13708411420.79961,0.6349,17196611241.47,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87147346805.4626,87147356311.07307,True,,11,71659659264.0,9313057694.237097,,2024-07-10T06:11:00.000Z,0.12996234966631695,284344743.20644987,-28.9865,-0.34222612,1.22277687,0.78874201,10.57535966,2.56668379,8.23572066,11325873958.02332,0.5245,11325875193.39,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
11,5805,Avalanche,AVAX,avalanche,750,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394392511.35646397,443738881.35646397,False,,12,,,,2024-07-10T06:11:00.000Z,27.129958744790027,323652530.45886636,-25.9323,-0.72592616,5.91865546,-3.20108545,-17.03370314,-19.31526875,-42.04974406,10699852562.355,0.4955,19418233218.11,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270822026573.9,589519289946661.6,False,,13,,,,2024-07-10T06:11:00.000Z,1.659067052927814e-05,283340651.8173645,-41.2276,-1.46748617,0.32238785,-2.14738764,-28.47237666,-26.53338814,-40.25499155,9776398060.759783,0.4528,9780520310.16,,2024-07-10T06:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-10 11:42:59.766150
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1466871095.6474755,9086787125.593927,,2024-07-10T06:12:00.000Z,6.1946732419477035,174580554.58245674,-24.454,-0.77664262,2.61185998,-2.20413943,-3.94287807,-8.51348529,-26.44491998,8907651644.463188,0.4124,8907651644.46,,2024-07-10T06:12:00.000Z,,,,,,2024-07-10 11:42:59.766150
14,1975,Chainlink,LINK,chainlink,1812,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-10T06:11:00.000Z,12.968644510832654,344788802.06480753,-24.9923,-1.23624967,-0.49742773,-10.18395223,-19.11570383,-4.88602114,-25.59052354,7886232343.850031,0.3652,12968644510.83,,2024-07-10T06:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-10 11:42:59.766150
15,1831,Bitcoin Cash,BCH,bitcoin-cash,903,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19730734.375,19730734.375,False,,16,,,,2024-07-10T06:11:00.000Z,342.29015360955543,213952177.4102965,-21.3222,-0.74357694,0.91421298,-8.82447299,-26.72304603,-20.45868582,-44.42445153,6753636100.048086,0.3128,7188093225.8,,2024-07-10T06:11:00.000Z,,,,,,2024-07-10 11:42:59.766150
